Year,TotalTDFDistance,Stage
1903,2428,Stage 6 : Nantes > Paris
1903,2428,Stage 1 : Paris > Lyon
1903,2428,Stage 2 : Lyon > Marseille
1903,2428,Stage 5 : Bordeaux > Nantes
1903,2428,Stage 4 : Toulouse > Bordeaux
1903,2428,Stage 3 : Marseille > Toulouse
1904,2428,Stage 6 : Ville d'Avray > Paris
1904,2428,Stage 5 : Bordeaux > Nantes
1904,2428,Stage 4 : Toulouse > Bordeaux
1904,2428,Stage 3 : Marseille > Toulouse
1904,2428,Stage 2 : Lyon > Marseille
1904,2428,Stage 1 : Paris > Lyon
1905,2994,Stage 1 : Paris > Nancy
1905,2994,Stage 2 : Nancy > Besançon
1905,2994,Stage 3 : Besançon > Grenoble
1905,2994,Stage 4 : Grenoble > Toulon
1905,2994,Stage 5 : Toulon > Nimes
1905,2994,Stage 6 : Nimes > Toulouse
1905,2994,Stage 7 : Toulouse > Bordeaux
1905,2994,Stage 8 : Bordeaux > La Rochelle
1905,2994,Stage 9 : La Rochelle > Rennes
1905,2994,Stage 10 : Rennes > Caen
1905,2994,Stage 11 : Caen > Paris
1906,4637,Stage 1 : Paris > Lille
1906,4637,Stage 2 : Douai > Nancy
1906,4637,Stage 3 : Nancy > Dijon
1906,4637,Stage 4 : Dijon > Grenoble
1906,4637,Stage 5 : Grenoble > Nice
1906,4637,Stage 6 : Nice > Marseille
1906,4637,Stage 13.1 : Caen > Paris
1906,4637,Stage 8 : Toulouse > Bayonne
1906,4637,Stage 9 : Bayonne > Bordeaux
1906,4637,Stage 10 : Bordeaux > Nantes
1906,4637,Stage 11 : Nantes > Brest
1906,4637,Stage 12 : Brest > Caen
1906,4637,Stage 13.2 : Caen > Paris
1906,4637,Stage 7 : Marseille > Toulouse
1907,4488,Stage 5 : Lyon > Grenoble
1907,4488,Stage 1 : Paris > Roubaix
1907,4488,Stage 2 : Roubaix > Metz
1907,4488,Stage 3 : Metz > Belfort
1907,4488,Stage 4 : Belfort > Lyon
1907,4488,Stage 6 : Grenoble > Nice
1907,4488,Stage 13 : Brest > Caen
1907,4488,Stage 8 : Nimes > Toulouse
1907,4488,Stage 9 : Toulouse > Bayonne
1907,4488,Stage 10 : Bayonne > Bordeaux
1907,4488,Stage 11 : Bordeaux > Nantes
1907,4488,Stage 12 : Nantes > Brest
1907,4488,Stage 14 : Caen > Paris
1907,4488,Stage 7 : Nice > Nimes
1908,4488,Stage 1 : Paris > Roubaix
1908,4488,Stage 2 : Roubaix > Metz
1908,4488,Stage 3 : Metz > Belfort
1908,4488,Stage 4 : Belfort > Lyon
1908,4488,Stage 5 : Lyon > Grenoble
1908,4488,Stage 6 : Grenoble > Nice
1908,4488,Stage 7 : Nice > Nimes
1908,4488,Stage 8 : Nimes > Toulouse
1908,4488,Stage 10 : Bayonne > Bordeaux
1908,4488,Stage 11 : Bordeaux > Nantes
1908,4488,Stage 12 : Nantes > Brest
1908,4488,Stage 13 : Brest > Caen
1908,4488,Stage 14.1 : Caen > Paris
1908,4488,Stage 14.2 : Caen > Paris
1908,4488,Stage 9 : Toulouse > Bayonne
1909,4497,Stage 6 : Grenoble > Nice
1909,4497,Stage 1 : Paris > Roubaix
1909,4497,Stage 2 : Roubaix > Metz
1909,4497,Stage 3 : Metz > Belfort
1909,4497,Stage 4 : Belfort > Lyon
1909,4497,Stage 7 : Nice > Nimes
1909,4497,Stage 5 : Lyon > Grenoble
1909,4497,Stage 9 : Toulouse > Bayonne
1909,4497,Stage 14 : Caen > Paris
1909,4497,Stage 10 : Bayonne > Bordeaux
1909,4497,Stage 11 : Bordeaux > Nantes
1909,4497,Stage 12 : Nantes > Brest
1909,4497,Stage 13 : Brest > Caen
1909,4497,Stage 8 : Nimes > Toulouse
1910,4734,Stage 1 : Paris > Roubaix
1910,4734,Stage 2 : Roubaix > Metz
1910,4734,Stage 3 : Metz > Belfort
1910,4734,Stage 4 : Belfort > Lyon
1910,4734,Stage 5 : Lyon > Grenoble
1910,4734,Stage 6 : Grenoble > Nice
1910,4734,Stage 7 : Nice > Nimes
1910,4734,Stage 9 : Perpignan > Luchon
1910,4734,Stage 10 : Luchon > Bayonne
1910,4734,Stage 11 : Bayonne > Bordeaux
1910,4734,Stage 12 : Bordeaux > Nantes
1910,4734,Stage 13 : Nantes > Brest
